time,vertical_velocity,horizontal_velocity,dist,alt,ang,weight,acc,fuel,NN
72,0.94,1641.44,61681.22,12312.4,0,276.61,0.09,112.61,0.04
73,0.9,1641.44,60039.78,12311.49,0,276.6,0.09,112.6,0.04
74,0.87,1641.44,58398.34,12310.62,0,276.59,0.08,112.59,0.04
75,0.84,1641.44,56756.9,12309.78,0,276.59,0.08,112.59,0.03
76,0.81,1641.44,55115.46,12308.97,0,276.58,0.08,112.58,0.03
77,0.79,1641.44,53474.02,12308.18,0,276.57,0.07,112.57,0.03
78,0.76,1641.44,51832.58,12307.42,0,276.56,0.07,112.56,0.03
79,0.74,1641.44,50191.14,12306.67,0,276.56,0.07,112.56,0.03
80,0.73,1641.44,48549.7,12305.95,0,276.55,0.07,112.55,0.03
81,0.71,1641.44,46908.26,12305.24,0,276.54,0.07,112.54,0.03
82,0.7,1641.44,45266.82,12304.54,0,276.54,0.06,112.54,0.03
83,0.68,1641.44,43625.37,12303.86,0,276.53,0.06,112.53,0.03
84,0.67,1641.44,41983.93,12303.19,0,276.53,0.06,112.53,0.03
85,0.66,1641.44,40342.49,12302.53,0,276.52,0.06,112.52,0.03
86,0.65,1641.44,38701.05,12301.88,0,276.51,0.06,112.51,0.03
87,0.64,1641.44,37059.61,12301.23,0,276.51,0.06,112.51,0.03
88,0.63,1641.44,35418.17,12300.6,0,276.5,0.06,112.5,0.03
89,0.63,1641.44,33776.73,12299.97,0,276.5,0.06,112.5,0.03
90,0.62,1641.44,32135.29,12299.35,0,276.49,0.06,112.49,0.03
91,0.62,1641.44,30493.85,12298.73,0,276.49,0.06,112.49,0.02
92,0.61,1641.44,28852.41,12298.12,0,276.48,0.06,112.48,0.02
93,0.61,1641.44,27210.97,12297.51,0,276.48,0.06,112.48,0.02
94,0.6,1641.44,25569.53,12296.91,0,276.47,0.06,112.47,0.02
95,0.6,1641.44,23928.09,12296.31,0,276.46,0.05,112.46,0.02
96,0.6,1641.44,22286.65,12295.72,0,276.46,0.05,112.46,0.02
97,0.59,1641.44,20645.21,12295.12,0,276.45,0.05,112.45,0.02
98,0.59,1641.44,19003.77,12294.53,0,276.45,0.05,112.45,0.02
99,0.59,1641.44,17362.33,12293.95,0,276.44,0.05,112.44,0.02
100,0.59,1641.44,15720.89,12293.36,0,276.44,0.05,112.44,0.02
101,0.58,1641.44,14079.45,12292.78,0,276.43,0.05,112.43,0.02
102,0.58,1641.44,12438.01,12292.19,0,276.43,0.05,112.43,0.02
103,0.58,1641.44,10796.57,12291.61,0,276.42,0.05,112.42,0.02
104,0.58,1641.44,9155.12,12291.03,0,276.42,0.05,112.42,0.02
105,0.58,1641.44,7513.68,12290.46,0,276.41,0.05,112.41,0.02
106,0.58,1641.44,5872.24,12289.88,0,276.41,0.05,112.41,0.02
107,0.58,1641.44,4230.8,12289.3,0,276.4,0.05,112.4,0.02
108,0.57,1641.44,2589.36,12288.73,0,276.4,0.05,112.4,0.02
109,0.57,1641.44,947.92,12288.15,0,276.39,0.05,112.39,0.02
110,0.57,1641.44,-693.52,12287.58,0,276.39,0.05,112.39,0.02
111,0.57,1641.44,-2334.96,12287.01,0,276.38,0.05,112.38,0.02
112,0.57,1641.44,-3976.4,12286.44,0,276.38,0.05,112.38,0.02
113,0.57,1641.44,-5617.84,12285.87,0,276.37,0.05,112.37,0.02
114,0.57,1641.44,-7259.28,12285.29,0,276.37,0.05,112.37,0.02
115,0.57,1641.44,-8900.72,12284.72,0,276.36,0.05,112.36,0.02
116,0.57,1641.44,-10542.16,12284.15,0,276.36,0.05,112.36,0.02
117,0.57,1641.44,-12183.6,12283.58,0,276.35,0.05,112.35,0.02
118,0.57,1641.44,-13825.04,12283.01,0,276.35,0.05,112.35,0.02
119,0.57,1641.44,-15466.48,12282.45,0,276.34,0.05,112.34,0.02
120,0.57,1641.44,-17107.92,12281.88,0,276.34,0.05,112.34,0.02
121,0.57,1641.44,-18749.36,12281.31,0,276.33,0.05,112.33,0.02
122,0.57,1641.44,-20390.8,12280.74,0,276.33,0.05,112.33,0.02
123,0.57,1641.44,-22032.24,12280.17,0,276.32,0.05,112.32,0.02
124,0.57,1641.44,-23673.69,12279.6,0,276.32,0.05,112.32,0.02
125,0.57,1641.44,-25315.13,12279.04,0,276.31,0.05,112.31,0.02
126,0.57,1641.44,-26956.57,12278.47,0,276.31,0.05,112.31,0.02
127,0.57,1641.44,-28598.01,12277.9,0,276.3,0.05,112.3,0.02
128,0.57,1641.44,-30239.45,12277.33,0,276.3,0.05,112.3,0.02
129,0.57,1641.44,-31880.89,12276.76,0,276.29,0.05,112.29,0.02
130,0.57,1641.44,-33522.33,12276.2,0,276.29,0.05,112.29,0.02
131,0.57,1641.44,-35163.77,12275.63,0,276.28,0.05,112.28,0.02
132,0.57,1641.44,-36805.21,12275.06,0,276.28,0.05,112.28,0.02
133,0.57,1641.44,-38446.65,12274.5,0,276.27,0.05,112.27,0.02
134,0.57,1641.44,-40088.09,12273.93,0,276.27,0.05,112.27,0.02
135,0.57,1641.44,-41729.53,12273.36,0,276.26,0.05,112.26,0.02
136,0.57,1641.44,-43370.97,12272.79,0,276.26,0.05,112.26,0.02
137,0.57,1641.44,-45012.41,12272.23,0,276.25,0.05,112.25,0.02
138,0.57,1641.44,-46653.85,12271.66,0,276.25,0.05,112.25,0.02
139,0.57,1641.44,-48295.29,12271.09,0,276.24,0.05,112.24,0.02
140,0.57,1641.44,-49936.73,12270.53,0,276.24,0.05,112.24,0.02
141,0.57,1641.44,-51578.17,12269.96,0,276.23,0.05,112.23,0.02
142,0.57,1641.44,-53219.61,12269.39,0,276.23,0.05,112.23,0.02
143,0.57,1641.44,-54861.05,12268.83,0,276.22,0.05,112.22,0.02
144,0.57,1641.44,-56502.49,12268.26,0,276.22,0.05,112.22,0.02
145,0.57,1641.44,-58143.94,12267.69,0,276.21,0.05,112.21,0.02
146,0.57,1641.44,-59785.38,12267.13,0,276.21,0.05,112.21,0.02
147,0.57,1641.44,-61426.82,12266.56,0,276.2,0.05,112.2,0.02
148,0.57,1641.44,-63068.26,12265.99,0,276.19,0.05,112.19,0.02
149,0.57,1641.44,-64709.7,12265.43,0,276.19,0.05,112.19,0.02
150,0.57,1641.44,-66351.14,12264.86,0,276.18,0.05,112.18,0.02
151,0.57,1641.44,-67992.58,12264.3,0,276.18,0.05,112.18,0.02
152,0.57,1641.44,-69634.02,12263.73,0,276.17,0.05,112.17,0.02
153,0.57,1641.44,-71275.46,12263.16,0,276.17,0.05,112.17,0.02
154,0.57,1641.44,-72916.9,12262.6,0,276.16,0.05,112.16,0.02
155,0.57,1641.44,-74558.34,12262.03,0,276.16,0.05,112.16,0.02
156,0.57,1641.44,-76199.78,12261.46,0,276.15,0.05,112.15,0.02
157,0.57,1641.44,-77841.22,12260.9,0,276.15,0.05,112.15,0.02
158,0.57,1641.44,-79482.66,12260.33,0,276.14,0.05,112.14,0.02
159,0.57,1641.44,-81124.1,12259.76,0,276.14,0.05,112.14,0.02
160,0.57,1641.44,-82765.54,12259.2,0,276.13,0.05,112.13,0.02
161,0.57,1641.44,-84406.98,12258.63,0,276.13,0.05,112.13,0.02
162,0.57,1641.44,-86048.42,12258.07,0,276.12,0.05,112.12,0.02
163,0.57,1641.44,-87689.86,12257.5,0,276.12,0.05,112.12,0.02
164,0.57,1641.44,-89331.3,12256.93,0,276.11,0.05,112.11,0.02
165,0.57,1641.44,-90972.74,12256.37,0,276.11,0.05,112.11,0.02
166,0.57,1641.44,-92614.19,12255.8,0,276.1,0.05,112.1,0.02
167,0.57,1641.44,-94255.63,12255.23,0,276.1,0.05,112.1,0.02
168,0.57,1641.44,-95897.07,12254.67,0,276.09,0.05,112.09,0.02
169,0.57,1641.44,-97538.51,12254.1,0,276.09,0.05,112.09,0.02
170,0.57,1641.44,-99179.95,12253.54,0,276.08,0.05,112.08,0.02
171,0.57,1641.44,-100821.39,12252.97,0,276.08,0.05,112.08,0.02
172,0.57,1641.44,-102462.83,12252.4,0,276.07,0.05,112.07,0.02
173,0.57,1641.44,-104104.27,12251.84,0,276.07,0.05,112.07,0.02
174,0.57,1641.44,-105745.71,12251.27,0,276.06,0.05,112.06,0.02
175,0.57,1641.44,-107387.15,12250.7,0,276.06,0.05,112.06,0.02
176,0.57,1641.44,-109028.59,12250.14,0,276.05,0.05,112.05,0.02
177,0.57,1641.44,-110670.03,12249.57,0,276.05,0.05,112.05,0.02
178,0.57,1641.44,-112311.47,12249.01,0,276.04,0.05,112.04,0.02
179,0.57,1641.44,-113952.91,12248.44,0,276.04,0.05,112.04,0.02
180,0.57,1641.44,-115594.35,12247.87,0,276.03,0.05,112.03,0.02
181,0.57,1641.44,-117235.79,12247.31,0,276.03,0.05,112.03,0.02
182,0.57,1641.44,-118877.23,12246.74,0,276.02,0.05,112.02,0.02
183,0.57,1641.44,-120518.67,12246.18,0,276.02,0.05,112.02,0.02
184,0.57,1641.44,-122160.11,12245.61,0,276.01,0.05,112.01,0.02
185,0.57,1641.44,-123801.55,12245.04,0,276.01,0.05,112.01,0.02
186,0.57,1641.44,-125443,12244.48,0,276,0.05,112,0.02
187,0.57,1641.44,-127084.44,12243.91,0,276,0.05,112,0.02
188,0.57,1641.44,-128725.88,12243.35,0,275.99,0.05,111.99,0.02
189,0.57,1641.44,-130367.32,12242.78,0,275.99,0.05,111.99,0.02
190,0.57,1641.44,-132008.76,12242.21,0,275.98,0.05,111.98,0.02
191,0.57,1641.44,-133650.2,12241.65,0,275.98,0.05,111.98,0.02
